Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Class,Amount
355,1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0,8101.784779
356,1,31.57,0.5,2,8,5,0.835,1,0,0,1,1,320,1,0,2611.463474
357,1,16,3.125,2,9,4,0.085,0,1,1,0,2,0,7,0,6945.564058
359,1,25.17,3,2,8,4,1.25,0,1,1,0,2,0,23,0,1141.800969
362,0,27.25,0.29,2,7,8,0.125,0,1,1,1,2,272,109,0,5684.644985
363,0,19.58,0.665,1,8,4,1,0,1,1,0,2,2000,3,0,6758.817529
364,1,30.75,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0,7629.876095
365,0,50.25,0.835,2,6,4,0.5,0,0,0,1,2,240,118,0,7962.758269
366,1,31.08,1.5,1,9,4,0.04,0,0,0,0,1,160,1,0,5406.673386
368,0,36.58,0.29,2,1,1,0,0,1,10,0,2,200,19,0,4239.321467
371,1,36.17,18.125,2,9,4,0.085,0,0,0,0,2,320,3553,0,7876.715543
372,1,50.75,0.585,2,1,1,0,0,0,0,0,2,145,1,0,2185.658495
373,0,23.58,0.83,2,11,4,0.415,0,1,1,1,2,200,12,0,3071.721872
377,1,31.57,0.625,2,4,4,0.25,0,0,0,0,2,380,2011,0,8907.980874
378,0,31.75,3,1,5,3,0,0,0,0,0,2,160,21,0,9515.817193
381,1,17.08,3.29,2,3,4,0.335,0,0,0,1,2,140,3,0,4743.787346
382,1,44.83,7,1,8,4,1.625,0,0,0,0,2,160,3,0,7665.412981
383,1,16.25,0,1,6,4,0.25,0,0,0,0,2,60,1,0,5133.446695
386,0,26.17,2,2,5,3,0,0,0,0,1,2,276,2,0,3003.084799
391,1,22.5,11.5,1,7,4,1.5,0,0,0,1,2,0,4001,0,8572.706666
392,0,27.17,1.25,2,1,1,0,0,1,1,0,2,92,301,0,2318.38104
395,1,31.57,0.04,1,2,4,4.25,0,0,0,1,2,460,1,0,2157.694929
396,0,22.5,8.5,2,11,4,1.75,1,1,10,0,2,80,991,0,450.9453133
397,0,22.92,1.25,2,11,4,0.25,0,0,0,1,2,120,810,0,606.0381687
398,1,23.25,12.625,2,8,4,0.125,0,1,2,0,2,0,5553,0,9874.240486
399,0,29.5,1.085,1,14,4,1,0,0,0,0,2,280,14,0,3831.451868
400,0,32,6,2,2,4,1.25,0,0,0,0,2,272,1,0,2841.182562
402,1,19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,8,0,41.6086172
403,1,35.75,2.415,2,9,4,0.125,0,1,2,0,2,220,2,0,6304.301313
404,1,18.83,0,2,11,4,0.665,0,0,0,0,2,160,2,0,7609.835234
407,0,33.25,3,1,6,4,2,0,0,0,0,2,180,1,0,8961.358869
409,1,25.25,1,2,6,4,0.5,0,0,0,0,2,200,1,0,8089.115632
410,1,32.42,2.165,1,4,1,0,0,0,0,0,2,120,1,0,1275.896333
411,0,21.08,5,1,1,1,0,0,0,0,0,2,0,1,0,9145.753185
415,0,30.25,5.5,2,4,4,5.5,0,0,0,1,1,100,1,0,6014.865717
416,0,24.58,0.67,2,6,8,1.75,1,0,0,0,2,400,1,0,6509.180413
418,0,31.57,11.25,2,1,1,0,0,0,0,0,2,184,5201,0,8323.210987
422,1,29.83,1.25,1,4,4,0.25,0,0,0,0,2,224,1,0,3773.274619
424,1,21.17,0.25,1,8,8,0.25,0,0,0,0,2,280,205,0,4727.363559
425,1,31.42,15.5,2,8,4,0.5,1,0,0,0,2,120,1,0,6786.245729
427,1,37.5,1.75,1,8,5,0.25,1,0,0,1,2,164,401,0,1393.988611
428,0,24.83,4.5,2,9,4,1,0,0,0,1,2,360,7,0,4542.691325
429,1,36.33,3.79,2,9,4,1.165,1,0,0,1,2,200,1,0,6986.810907
431,1,32.08,4,1,13,4,1.5,0,0,0,1,2,120,1,0,8580.930555
432,0,30.58,10.665,2,11,8,0.085,0,1,12,1,2,129,4,0,6832.822845
434,1,54.83,15.5,2,10,9,0,1,1,20,0,2,152,131,0,5356.263631
436,1,24.58,12.5,2,9,4,0.875,1,0,0,1,2,260,1,0,78.15404617
439,1,22.25,0.46,2,4,4,0.125,0,0,0,1,2,280,56,0,1247.858947
441,1,36.67,2,2,3,4,0.25,0,0,0,1,2,221,1,0,1967.552182
442,1,25.83,12.835,2,13,4,0.5,0,0,0,0,2,0,3,0,5091.305351
444,1,20.08,0.25,2,11,4,0.125,0,0,0,0,2,200,1,0,6327.289277
447,1,62.75,7,2,10,9,0,0,0,0,0,2,0,13,0,5494.080696
448,1,40.58,3.29,2,7,4,3.5,0,0,0,1,1,400,1,0,7364.51521
449,0,16.33,0.21,2,6,4,0.125,0,0,0,0,2,200,2,0,4535.829025
450,1,29.5,0.58,2,9,4,0.29,0,1,1,0,2,340,2804,0,970.0155089
451,1,34,4.5,2,6,4,1,1,0,0,1,2,240,1,0,6834.750987
454,0,22.5,11,1,11,4,3,1,0,0,1,2,268,1,0,5866.124794
455,1,24.42,2,2,10,2,0.165,0,1,2,0,2,320,1301,0,8480.918236
458,1,34.42,1.335,2,3,5,0.125,0,0,0,1,2,440,4501,0,329.7162439
460,1,25.92,0.875,2,4,4,0.375,0,1,2,1,2,174,4,0,9899.341793
462,1,20.42,1.085,2,11,4,1.5,0,0,0,0,2,108,8,0,3771.337118
464,0,57.58,2,2,1,1,6.5,0,1,1,0,2,0,11,0,8001.554054
467,1,30.08,1.04,1,3,5,0.5,1,1,10,1,2,132,29,0,9276.636929
469,0,23.58,11.5,1,4,8,3,0,0,0,1,2,20,17,0,2161.568241
473,1,32.25,14,1,1,1,0,0,1,2,0,2,160,2,0,8614.937873
474,1,33.58,0.335,1,13,4,0.085,0,0,0,0,2,180,1,0,8932.22748
475,1,23.58,0.46,1,9,4,2.625,1,1,6,1,2,208,348,0,3238.428878
476,1,16.92,0.335,1,4,4,0.29,0,0,0,0,1,200,1,0,5519.615206
477,0,20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,352,0,7530.866535
479,1,31.57,5,1,6,4,8.5,1,0,0,0,2,0,1,0,3231.735044
481,1,21.5,9.75,2,8,4,0.25,1,0,0,0,2,140,1,0,2876.557729
482,1,20.42,0,2,8,4,0,0,0,0,0,3,184,1,0,6864.819979
483,0,25.25,13.5,1,1,1,2,0,1,1,1,2,200,2,0,9264.6696
489,1,39.83,0.5,2,7,4,0.25,1,0,0,0,1,288,1,0,1253.889914
492,1,51.83,2.04,1,1,1,1.5,0,0,0,0,2,120,2,0,5829.54596
493,0,25,11,1,6,4,4.5,1,0,0,0,2,120,1,0,5798.811366
494,1,29.67,0.75,1,8,4,0.04,0,0,0,0,2,240,1,0,6735.534271
501,1,18.08,6.75,1,7,4,0.04,0,0,0,0,2,140,1,0,8086.680555
506,0,21.92,11.665,2,4,8,0.085,0,0,0,0,2,320,6,0,3855.790572
507,1,17.58,10,2,9,8,0.165,0,1,1,0,2,120,2,0,1835.442402
508,1,34.83,2.5,1,9,4,3,0,0,0,0,1,200,1,0,8531.748854
509,1,29.17,3.5,2,9,4,3.5,1,1,3,1,2,329,1,0,8326.612866
510,1,21.42,0.75,1,12,7,0.75,0,0,0,1,2,132,3,0,1762.633826
511,1,18.17,10.25,2,8,8,1.085,0,0,0,0,2,320,14,0,6646.757627
512,1,28,3,2,9,4,0.75,0,0,0,1,2,300,68,0,2835.590228
514,1,22.75,11.5,2,3,4,0.415,0,0,0,0,2,0,1,0,782.2857985
515,0,31.57,3.5,2,2,4,3,1,0,0,1,2,300,1,0,680.6553738
519,0,27.33,1.665,2,1,1,0,0,0,0,0,2,340,2,0,4025.886718
521,0,18.25,10,2,9,4,1,0,1,1,0,2,120,2,0,2783.238479
522,0,28.5,1,2,11,4,1,1,1,2,1,2,167,501,0,7497.178884
525,1,21.92,0.5,2,8,4,0.125,0,0,0,0,2,360,1,0,5826.045661
527,0,45.33,1,2,11,4,0.125,0,0,0,1,2,263,1,0,9865.396299
528,0,23.58,0.585,1,1,1,0.125,0,0,0,0,2,120,88,0,1653.085261
529,0,17.92,0.54,2,8,4,1.75,0,1,1,1,2,80,6,0,9405.194246
530,1,33,2.5,1,9,4,7,0,0,0,1,2,280,1,0,7749.837916
531,0,22.67,0.335,2,11,4,0.75,0,0,0,0,1,160,1,0,3925.398143
532,1,34.67,1.08,2,7,4,1.165,0,0,0,0,1,28,1,0,3930.984834
534,1,31.83,2.5,2,6,4,7.5,1,0,0,1,2,523,1,0,8507.326822
536,1,33.75,2.75,2,3,5,0,0,0,0,0,2,180,1,0,5427.809737
540,0,22.67,0.79,2,3,4,0.085,0,0,0,0,2,144,1,0,5621.591247
541,1,26.67,14.585,2,3,5,0,0,0,0,1,2,178,1,0,9956.359146
543,1,30.17,1.085,1,8,4,0.04,0,0,0,0,2,170,180,0,8443.342586
544,1,37.75,7,2,11,8,11.5,1,1,7,1,2,300,6,0,4055.09568
545,1,17.08,0.085,1,8,4,0.04,0,0,0,0,2,140,723,0,2203.767419
546,1,49.17,2.29,2,1,1,0.29,0,0,0,0,2,200,4,0,1202.558771
547,1,22.92,0.17,2,7,4,0.085,0,0,0,0,1,0,1,0,3124.536519
548,0,34.83,1.25,1,3,8,0.5,0,0,0,1,2,160,1,0,1605.764061
549,1,44.25,11,1,2,4,1.5,1,0,0,0,1,0,1,0,3745.633137
552,0,41.58,1.04,2,6,4,0.665,0,0,0,0,2,240,238,0,4649.220151
553,1,49.58,19,2,1,1,0,1,1,1,0,2,94,1,0,7805.686307
554,0,33.92,1.585,1,1,1,0,1,0,0,0,2,320,1,0,4209.378508
555,1,19.17,4,1,3,4,1,0,0,0,1,2,360,1001,0,6850.028869
556,0,24.5,2.415,1,8,4,0,0,0,0,0,2,120,1,0,7117.296853
558,1,69.17,9,2,1,1,4,0,1,1,0,2,70,7,0,1041.483912
560,0,33.25,2.5,1,8,4,2.5,0,0,0,1,2,0,3,0,5702.554683
562,1,23,0.625,1,6,4,0.125,1,0,0,0,2,180,2,0,2048.812072
563,1,34.75,2.5,2,13,5,0.5,0,0,0,0,2,348,1,0,4551.50875
567,1,34.25,1.75,2,9,5,0.25,1,0,0,1,2,163,1,0,1455.884273
568,0,45,4.585,2,4,8,1,0,0,0,1,1,240,1,0,4480.634952
569,1,30.58,2.71,1,7,4,0.125,0,0,0,1,1,80,1,0,9865.109208
570,1,27.67,0.75,2,11,8,0.165,0,0,0,1,2,220,252,0,3457.886738
571,1,19.42,7.25,2,7,4,0.04,0,1,1,0,2,100,2,0,3165.873675
573,0,23.5,1.5,2,9,4,0.875,0,0,0,1,2,160,1,0,2528.138534
576,0,33.17,2.25,1,13,4,3.5,0,0,0,1,2,200,142,0,9469.389649
577,0,52.5,7,2,6,8,3,0,0,0,0,2,0,1,0,5953.655619
578,0,25.42,1.125,2,11,4,1.29,1,1,2,0,2,200,1,0,9584.760096
579,1,40.58,1.5,2,3,5,0,0,0,0,0,1,300,1,0,6486.891
580,1,23.92,0.585,1,13,8,0.125,0,0,0,0,2,240,2,0,2477.553188
